,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,14760.0,24105.9,5763.5,9902.9,16180.6,1564.0,34435.1,9968.1,7927.3,9378.0,6131.4,6150.3,3272.3,7561.4,6730.1,5711.4,8740.1,4289.2,18136.9,5321.9,3017.9,8573.6,2936.1,5785.8,4159.7,27318.2,2215.0,11804.9,2560.5,11683.8,11446.9,5012.2,8803.6,4900.7,10136.8,2836.0,17999.9,3980.4,6153.2,17474.4,3057.3,3026.3,11586.9,13185.8,5702.7,9090.1,15602.6,3094.5,9622.4,7836.3
1,10814.4,16660.6,5241.0,7833.7,11353.9,1778.3,23056.4,6997.3,8062.3,6767.5,6744.0,5948.5,3556.4,7254.3,5722.1,5182.1,7710.7,4141.6,13646.4,5227.8,2814.7,5832.4,2966.5,4876.5,3508.4,20125.3,2093.0,7881.1,2440.6,9234.6,10063.2,5054.6,7134.5,4745.1,7906.4,2984.6,11892.5,4329.3,5835.7,13443.8,2688.7,2890.4,8610.0,10752.9,5569.6,7958.4,13107.1,2910.2,8494.1,6182.2
2,13543.1,19018.2,4728.4,8085.7,12963.4,1112.8,26516.8,9273.0,5103.6,8264.4,4206.5,4529.7,2312.6,5294.0,5251.1,3969.4,6590.5,3217.9,13345.6,3781.9,2278.8,8169.7,2386.6,4934.4,3689.7,21158.8,1821.2,11505.3,2214.3,9582.4,8606.4,3860.9,7264.1,3715.2,7742.9,2144.2,16916.6,2913.4,4255.4,12893.3,2675.3,2240.0,9822.7,10186.1,4024.4,5901.6,10968.6,2565.0,6826.7,6998.9
3,1532.5,1266.1,6806.8,3405.0,1884.5,50448.1,874.8,2159.4,9879.9,2697.6,11557.7,8646.8,21353.8,7993.1,6105.5,10423.5,5084.6,12640.7,2208.7,11462.5,17653.2,2371.1,15800.1,5763.2,7435.7,1176.0,19721.4,1568.9,14889.0,2814.4,3933.7,10108.2,3764.0,10400.6,3902.8,20747.9,1026.3,15959.3,10231.8,2264.6,11346.7,18435.8,2485.2,2876.7,10743.2,7291.2,3137.6,13130.6,5580.6,3576.3
4,2550.3,2173.7,8748.2,4859.1,2967.9,42393.6,1667.1,3254.8,12557.8,3949.1,15075.7,11199.0,22974.1,10284.6,7952.6,12325.2,7276.8,14109.8,3476.6,13623.3,17759.5,3342.9,17351.5,7376.8,8907.1,2243.2,19651.7,2407.0,15974.1,4209.4,5772.8,12570.4,5437.2,12622.2,5357.8,21486.5,1872.0,18202.3,12267.2,3708.1,12193.8,19208.6,3682.6,4531.9,13000.9,9323.2,4948.6,14844.1,7461.7,4810.4
5,2974.2,2786.6,9189.0,5470.7,3567.2,38220.4,2256.3,3537.0,14612.1,4298.4,16788.7,12153.3,23075.1,11641.2,8546.6,13255.8,8214.1,14479.9,4351.2,14591.7,17148.0,3527.5,16613.8,7636.7,8696.2,2951.5,17823.0,2658.3,14718.5,4861.4,6824.1,13201.5,6002.6,13173.4,6109.8,20831.6,2207.3,18776.8,13450.1,4610.3,11445.2,18616.1,4195.4,5389.7,14079.1,10863.1,6158.1,14136.6,8673.9,5160.0
6,2394.5,2318.5,8583.9,4853.9,3032.3,44253.9,1820.6,2893.6,15132.2,3624.7,17030.8,11825.9,24562.0,11571.7,7986.1,13401.6,7573.0,14716.8,3852.7,14825.1,17831.4,2913.7,16578.9,6966.7,7981.1,2404.3,18047.0,2121.5,14350.8,4247.5,6279.3,12920.3,5290.5,12967.2,5598.0,21866.7,1677.6,19449.1,13687.4,4027.8,11001.8,19283.4,3601.6,4734.9,14242.1,10922.2,5611.4,13699.1,8384.0,4538.4
7,3119.0,3112.5,10327.7,6043.4,3912.4,45791.9,2564.8,3581.8,18975.3,4475.8,21593.6,14601.1,28362.4,14330.0,9675.2,15902.9,9663.8,16918.7,5066.2,17713.4,19467.9,3474.0,18795.3,8255.7,9126.3,3420.4,19411.0,2614.5,15860.5,5398.3,8098.8,15618.7,6633.0,15476.0,6904.5,24484.1,2249.1,22940.2,16424.1,5405.9,12043.6,21518.4,4507.7,6239.1,17165.6,13514.0,7521.9,15586.1,10455.2,5424.1
8,3846.7,3758.3,11704.1,7155.6,4809.5,47168.2,3114.4,4635.3,19201.8,5694.6,21804.3,15875.4,29483.9,15167.6,11240.2,17614.2,10939.9,18380.6,5879.0,18902.8,21910.2,4569.9,20838.7,9772.2,11056.4,4054.8,22559.2,3419.6,18409.9,6347.3,8906.7,16785.4,7908.7,16966.6,8117.6,26095.4,2967.3,23626.0,17597.2,6313.8,14308.4,24185.4,5487.8,7218.1,18320.4,14724.1,8359.8,18103.9,11392.5,6499.0
9,3727.4,2539.1,9561.6,5568.8,3408.6,34421.8,1841.3,4676.4,8940.1,5042.8,11071.3,9619.4,17877.1,8590.1,7891.9,9847.7,6594.1,13300.4,3453.0,11336.7,16615.4,5195.3,17507.1,8780.7,11074.9,2320.7,20198.7,4050.8,18036.3,4924.7,5668.5,11830.4,6001.6,11544.5,5501.9,19482.0,2714.2,15618.9,9948.7,3468.5,15011.0,16371.8,4651.4,4502.8,10673.7,6855.6,4197.8,15159.5,6658.8,6779.5
10,13517.9,21234.1,5095.5,9016.5,15161.4,1346.8,30086.4,10223.1,6002.6,9544.2,4688.5,5218.7,2729.6,6063.4,6226.0,5084.0,7688.4,3682.1,15594.1,4440.9,2826.2,9040.8,2654.8,5442.7,4143.3,23503.8,2210.1,11908.9,2488.6,10356.0,9292.8,4175.7,8223.0,4249.2,9250.0,2440.5,18257.1,3176.8,5135.8,15359.7,3016.0,2864.4,10788.5,11534.5,4745.1,7700.5,12880.1,3013.3,7895.7,7189.0
